                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5469,                 1.5365,                 1.3715,                0.25132,                0.35196,                0.32834,                0.12445,                 2.6525,                 3.1051,                 2.1523,              0.0019415,              0.0019415,              0.0019415
                     35,                 1.5378,                 1.5187,                 1.4043,                0.17266,                0.35724,                0.20678,                0.07107,                  2.718,                 2.8982,                 2.1842,              0.0019379,              0.0019379,              0.0019379
                     36,                 1.5076,                 1.4699,                  1.387,                0.35912,                0.36748,                0.36025,                 0.1578,                 2.6282,                 2.9851,                 2.1536,              0.0019342,              0.0019342,              0.0019342
                     37,                 1.5252,                 1.4717,                 1.3738,                0.22649,                0.33693,                0.23376,                0.10083,                 2.6572,                  3.153,                 2.1101,              0.0019305,              0.0019305,              0.0019305
                     38,                 1.5153,                 1.4765,                 1.4001,                0.34518,                0.27104,                0.30832,                0.13291,                 2.6443,                 3.2152,                 2.0937,              0.0019266,              0.0019266,              0.0019266
                     39,                 1.5013,                 1.4457,                 1.3633,                0.20599,                0.33159,                0.19252,                 0.0755,                 2.6472,                 3.2281,                 2.0513,              0.0019226,              0.0019226,              0.0019226
                     40,                 1.5196,                 1.4494,                  1.356,                0.38344,                0.35233,                 0.3459,                0.09551,                 2.7563,                 3.0979,                 2.1547,              0.0019186,              0.0019186,              0.0019186
                     41,                 1.4811,                 1.3671,                 1.3513,                 0.2169,                0.15439,                0.19814,                0.07276,                 2.7553,                 3.5012,                 2.2117,              0.0019144,              0.0019144,              0.0019144
                     42,                   1.46,                 1.3715,                 1.3313,                0.41908,                0.29396,                0.30526,                0.11285,                 2.8365,                 3.2967,                  2.287,              0.0019101,              0.0019101,              0.0019101
                     43,                 1.4542,                 1.3432,                 1.3439,                0.27955,                0.39779,                0.21005,                0.06161,                 2.7209,                 3.3989,                 2.1518,              0.0019058,              0.0019058,              0.0019058
                     44,                 1.4632,                 1.3909,                 1.3574,                0.27616,                 0.2862,                 0.2383,                0.10762,                 2.5978,                 3.3465,                 2.1448,              0.0019013,              0.0019013,              0.0019013
                     45,                 1.4366,                  1.316,                 1.3182,                0.29725,                 0.3353,                0.30452,                0.07036,                 2.7871,                 3.6521,                  2.283,              0.0018968,              0.0018968,              0.0018968
                     46,                 1.4281,                 1.2895,                 1.3079,                0.21256,                0.33629,                0.31879,                0.11686,                 2.6407,                 3.5906,                 2.2292,              0.0018921,              0.0018921,              0.0018921
                     47,                  1.442,                 1.3023,                 1.3371,                0.38409,                0.33141,                0.25448,                0.08541,                 2.6467,                 3.4268,                 2.2137,              0.0018873,              0.0018873,              0.0018873
                     48,                 1.4246,                 1.2671,                 1.3102,                0.21251,                0.30135,                 0.1661,                0.07141,                 2.8775,                 3.5164,                 2.4494,              0.0018825,              0.0018825,              0.0018825
                     49,                 1.4079,                 1.2917,                  1.307,                0.20516,                 0.2797,                0.23072,                0.06876,                 2.9188,                 3.4925,                 2.3581,              0.0018775,              0.0018775,              0.0018775
                     50,                 1.4101,                  1.256,                 1.2999,                0.26543,                0.36411,                0.21165,                0.07767,                 2.8195,                 3.2412,                 2.3445,              0.0018725,              0.0018725,              0.0018725
                     51,                 1.3652,                 1.2302,                 1.2952,                0.10337,                 0.1229,                0.13587,                 0.0458,                 2.9462,                 3.3895,                 2.4576,              0.0018674,              0.0018674,              0.0018674
                     52,                 1.3755,                 1.2298,                 1.3212,                0.31213,                 0.2862,                0.29589,                0.12823,                 2.7823,                 3.5089,                 2.2964,              0.0018621,              0.0018621,              0.0018621
                     53,                 1.3953,                  1.264,                 1.2865,                 0.1874,                 0.2767,                0.21928,                0.07901,                 2.9989,                 3.4255,                 2.4037,              0.0018568,              0.0018568,              0.0018568
                     54,                 1.3586,                  1.196,                 1.2715,                 0.2677,                0.37032,                0.32255,                0.07165,                 2.9507,                 3.2814,                  2.492,              0.0018514,              0.0018514,              0.0018514
                     55,                 1.3839,                 1.2054,                 1.3018,                0.23365,                 0.3127,                0.32715,                0.11144,                 2.9468,                 3.5549,                   2.35,              0.0018459,              0.0018459,              0.0018459
                     56,                 1.3594,                  1.187,                 1.2813,                0.44093,                0.33502,                0.35728,                0.12546,                 2.8534,                 3.4277,                 2.4337,              0.0018403,              0.0018403,              0.0018403
                     57,                 1.3486,                 1.1946,                 1.2672,                0.47081,                0.28344,                0.33952,                0.13184,                 2.7316,                 3.5205,                 2.2249,              0.0018346,              0.0018346,              0.0018346
                     58,                  1.352,                 1.1744,                 1.2801,                0.46798,                 0.2862,                0.33744,                0.14794,                 2.8476,                 3.2079,                 2.3014,              0.0018288,              0.0018288,              0.0018288
                     59,                 1.3358,                 1.1499,                 1.2768,                0.36492,                0.17066,                0.23963,                0.08866,                 2.7715,                 3.4657,                 2.2618,              0.0018229,              0.0018229,              0.0018229
                     60,                 1.3575,                 1.1567,                 1.2828,                 0.3211,                0.18749,                0.29436,                0.11207,                 3.0286,                 3.4956,                 2.5986,               0.001817,               0.001817,               0.001817
                     61,                 1.3417,                 1.1081,                 1.2683,                0.27926,                0.40114,                0.26541,                0.07973,                 2.7605,                 3.4476,                 2.3335,              0.0018109,              0.0018109,              0.0018109
                     62,                 1.3192,                 1.0983,                 1.2469,                0.24038,                0.36776,                0.24078,                0.09096,                  2.839,                 3.2617,                 2.4228,              0.0018048,              0.0018048,              0.0018048
                     63,                 1.3421,                 1.1454,                 1.2738,                0.47506,                0.29887,                0.33389,                0.11442,                 2.8416,                 3.4649,                 2.3251,              0.0017986,              0.0017986,              0.0017986
                     64,                 1.3272,                 1.1096,                 1.2446,                0.40857,                0.28618,                0.30924,                0.13317,                 2.7279,                 3.6922,                 2.3422,              0.0017923,              0.0017923,              0.0017923
                     65,                 1.3179,                 1.0964,                 1.2337,                0.28855,                0.26347,                0.22036,                0.08032,                 2.8533,                  3.753,                 2.4147,              0.0017859,              0.0017859,              0.0017859
                     66,                 1.2975,                 1.0592,                  1.246,                0.29241,                0.15638,                0.16601,                0.05207,                 2.9227,                 3.5026,                 2.5438,              0.0017794,              0.0017794,              0.0017794
                     67,                 1.2777,                 1.0833,                 1.2484,                0.30141,                0.30022,                0.23879,                0.09745,                 2.8531,                 3.5969,                 2.3555,              0.0017728,              0.0017728,              0.0017728
